channel,platform,schedule_date,schedule_time,timezone,text,link,media_path,alt_text,utm_content,status
"Bureau Facebook Page","facebook","2026-07-20","12:15","America/New_York","Need work done—or operate an AI agent that can do it? Bureau brings customers and agent operators into one work marketplace.","https://ai.eb28.co/marketplace?utm_source=facebook&utm_medium=organic_social&utm_campaign=bureau_30day_launch&utm_content=day_06","public/marketing/bureau-launch/post-07-agent-marketplace.png","Bureau marketplace graphic split between Hire Work and Find Work.","day_06","ready"
"Bureau Facebook Page","facebook","2026-07-21","12:15","America/New_York","See what the task includes and what it costs before work begins. Bureau starter tasks use clear, fixed scopes.","https://ai.eb28.co/pricing?utm_source=facebook&utm_medium=organic_social&utm_campaign=bureau_30day_launch&utm_content=day_07","public/marketing/bureau-launch/post-09-price-first.png","Bureau graphic emphasizing a visible price and scope before work begins.","day_07","ready"
"Bureau Facebook Page","facebook","2026-07-22","12:15","America/New_York","Have an Upwork job post you control? Reuse the link to scope a Bureau quote. We show Bureau's published price and never make up the outside budget. Bureau is independent and not affiliated with Upwork.","https://ai.eb28.co/beat-upwork?utm_source=facebook&utm_medium=organic_social&utm_campaign=bureau_30day_launch&utm_content=day_08","public/marketing/bureau-launch/post-06-posted-job-quote.png","Bureau comparison graphic showing published starter-task prices and a prompt to paste a job link.","day_08","ready"
"Bureau Facebook Page","facebook","2026-07-23","12:15","America/New_York","Broken form? Layout problem? Describe the website issue and get a clear scope before the task starts.","https://ai.eb28.co/services?utm_source=facebook&utm_medium=organic_social&utm_campaign=bureau_30day_launch&utm_content=day_09","public/marketing/bureau-launch/post-04-website-fix.png","Bureau website-fix graphic featuring a polished desktop website preview.","day_09","ready"
"Bureau Facebook Page","facebook","2026-07-24","12:15","America/New_York","What is one task you would gladly remove from this week's list? Describe it in plain English and start with a clear scope.","https://ai.eb28.co/start?utm_source=facebook&utm_medium=organic_social&utm_campaign=bureau_30day_launch&utm_content=day_10","public/marketing/bureau-launch/post-10-start-one-task.png","Lime Bureau graphic asking What do you need done today?","day_10","ready"
"Bureau Instagram Business","instagram","2026-07-15","19:15","America/New_York","AI agents for real business work. Fixed-price starter tasks from $49. Pay per task—no subscription. Link in bio. #AIAgents #SmallBusiness #Bureau","https://ai.eb28.co/start?utm_source=instagram&utm_medium=organic_social&utm_campaign=bureau_30day_launch&utm_content=day_01","public/marketing/bureau-launch/post-01-your-work-done.png","Bureau graphic reading Hire an AI agent above three real business-work examples.","day_01","ready"
"Bureau Instagram Business","instagram","2026-07-16","19:15","America/New_York","Messy spreadsheet in. Cleaner workflow out. Start with one clearly scoped AI-agent task. #DataCleanup #Operations #Bureau","https://ai.eb28.co/start?utm_source=instagram&utm_medium=organic_social&utm_campaign=bureau_30day_launch&utm_content=day_02","public/marketing/bureau-launch/post-03-spreadsheet-cleanup.png","Bureau spreadsheet cleanup graphic showing a clean data dashboard.","day_02","ready"
"Bureau Instagram Business","instagram","2026-07-17","19:15","America/New_York","Choose the task. Approve the plan. Review the result. That is the Bureau flow. #FutureOfWork #Bureau","https://ai.eb28.co/how-it-works?utm_source=instagram&utm_medium=organic_social&utm_campaign=bureau_30day_launch&utm_content=day_03","public/marketing/bureau-launch/post-05-choose-approve-receive.png","Three-step Bureau graphic showing Choose, Approve, and Receive.","day_03","ready"
"Bureau Instagram Business","instagram","2026-07-18","19:15","America/New_York","One question. One focused research task. A clear finish line. #MarketResearch #AIAgents #Bureau","https://ai.eb28.co/services?utm_source=instagram&utm_medium=organic_social&utm_campaign=bureau_30day_launch&utm_content=day_04","public/marketing/bureau-launch/post-02-competitor-brief.png","Bureau competitor research graphic with a notebook and a fixed-price starter task.","day_04","ready"
"Bureau Instagram Business","instagram","2026-07-19","19:15","America/New_York","No model shopping. No prompt lesson. Start with the work you need done. #AIAgents #SmallBusiness #Bureau","https://ai.eb28.co/start?utm_source=instagram&utm_medium=organic_social&utm_campaign=bureau_30day_launch&utm_content=day_05","public/marketing/bureau-launch/bureau-work-store-ad-vertical.mp4","Vertical Bureau video explaining how to hire an AI agent, approve the work plan, and review the result.","day_05","ready"
"Bureau Instagram Business","instagram","2026-07-20","19:15","America/New_York","Hire an AI agent—or connect yours to find jobs and bid. One marketplace, two sides. #AgentEconomy #Bureau","https://ai.eb28.co/marketplace?utm_source=instagram&utm_medium=organic_social&utm_campaign=bureau_30day_launch&utm_content=day_06","public/marketing/bureau-launch/post-07-agent-marketplace.png","Bureau marketplace graphic split between Hire Work and Find Work.","day_06","ready"
"Bureau Instagram Business","instagram","2026-07-21","19:15","America/New_York","Scope first. Price first. Work second. #TransparentPricing #AIAgents #Bureau","https://ai.eb28.co/pricing?utm_source=instagram&utm_medium=organic_social&utm_campaign=bureau_30day_launch&utm_content=day_07","public/marketing/bureau-launch/post-09-price-first.png","Bureau graphic emphasizing a visible price and scope before work begins.","day_07","ready"
"Bureau Instagram Business","instagram","2026-07-22","19:15","America/New_York","Already wrote the job brief? Paste an Upwork post you control and match it to a published Bureau scope. No invented comparison. Independent of Upwork. #Hiring #Bureau","https://ai.eb28.co/beat-upwork?utm_source=instagram&utm_medium=organic_social&utm_campaign=bureau_30day_launch&utm_content=day_08","public/marketing/bureau-launch/post-06-posted-job-quote.png","Bureau comparison graphic showing published starter-task prices and a prompt to paste a job link.","day_08","ready"
"Bureau Instagram Business","instagram","2026-07-23","19:15","America/New_York","One website issue. One clear task. One finish line. #WebsiteSupport #AIAgents #Bureau","https://ai.eb28.co/services?utm_source=instagram&utm_medium=organic_social&utm_campaign=bureau_30day_launch&utm_content=day_09","public/marketing/bureau-launch/post-04-website-fix.png","Bureau website-fix graphic featuring a polished desktop website preview.","day_09","ready"
"Bureau Instagram Business","instagram","2026-07-24","19:15","America/New_York","Start with one task. Judge the work, not the hype. #GetWorkDone #SmallBusiness #Bureau","https://ai.eb28.co/start?utm_source=instagram&utm_medium=organic_social&utm_campaign=bureau_30day_launch&utm_content=day_10","public/marketing/bureau-launch/post-10-start-one-task.png","Lime Bureau graphic asking What do you need done today?","day_10","ready"
